Litter,Tags,Location (Lat/Long),Country,Date
8446786,,42.1889634352895/-71.8448098585561,US,Mon Sep 28 2020
8446785,,42.188742998623/-71.8447079596796,US,Mon Sep 28 2020
8446784,,42.1887950511299/-71.8446159129388,US,Mon Sep 28 2020
8446783,,42.1889483562912/-71.8447523633756,US,Mon Sep 28 2020
8446782,,42.1890105371223/-71.8447870765504,US,Mon Sep 28 2020
8446781,,42.1889634352895/-71.8448098585561,US,Mon Sep 28 2020
8446780,,42.1888515174712/-71.844792334639,US,Mon Sep 28 2020
8446779,,42.1889634352895/-71.8448098585561,US,Mon Sep 28 2020
8446778,,42.1889257374124/-71.8447498623171,US,Mon Sep 28 2020
8446777,,32.7772517495825/-93.0704873375161,US,Mon Sep 28 2020
8446776,,30.4311472945335/-91.0884737731834,US,Mon Sep 28 2020
8446775,,30.4310543708687/-91.0883724326515,US,Mon Sep 28 2020
8446774,,30.4309708354623/-91.0883688647181,US,Mon Sep 28 2020
8446754,plastic,32.7771425234752/-93.0704930030809,US,Mon Sep 28 2020
8446753,,42.6140697068806/-73.7288126843593,US,Mon Sep 28 2020
8446752,,42.6134958956787/-73.7319972273649,US,Mon Sep 28 2020
8446751,,42.6144888958037/-73.7289999832721,US,Mon Sep 28 2020
8446750,,30.4309589535497/-91.0883465429733,US,Mon Sep 28 2020
8446749,,42.6155185442264/-73.7291880614205,US,Mon Sep 28 2020
8446748,,42.6135631185422/-73.731936710024,US,Mon Sep 28 2020
8446747,,42.614543767775/-73.7290523190771,US,Mon Sep 28 2020
8446746,,42.6141493497873/-73.7288191852993,US,Mon Sep 28 2020
8446745,,30.4310848951093/-91.0885243301311,US,Mon Sep 28 2020
8446744,,30.4310379640396/-91.0885725735585,US,Mon Sep 28 2020
8446709,,30.4308627101631/-91.0885973095732,US,Mon Sep 28 2020
8446578,,30.4311797939282/-91.0890324583342,US,Mon Sep 28 2020
8446408,,30.499861474558/-91.1830550977705,US,Mon Sep 28 2020
8446394,,30.4306166837241/-91.0886187320618,US,Mon Sep 28 2020
